Question,Operation,Difficulty,Answer,Choices
6.0|||1.5,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
8.4|||2.1,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
7.2|||1.8,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
9.6|||2.4,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
6.3|||2.1,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
8.1|||2.7,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
7.5|||2.5,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
9.0|||3.0,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
5.6|||1.4,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
7.8|||1.3,DecimalDivision,grade_five,6.0,"6.0,5.5,6.5,5.0"
8.8|||2.2,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
6.6|||1.1,DecimalDivision,grade_five,6.0,"6.0,5.5,6.5,5.0"
9.9|||3.3,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
7.7|||1.1,DecimalDivision,grade_five,7.0,"7.0,6.5,7.5,6.0"
8.4|||2.8,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
6.3|||2.1,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
9.6|||3.2,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
7.2|||1.8,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
8.1|||2.7,DecimalDivision,grade_five,3.0,"3.0,2.5,3.5,2.0"
6.0|||1.5,DecimalDivision,grade_five,4.0,"4.0,3.5,4.5,3.0"
9.8|||2.8,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
12.6|||3.6,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
10.5|||2.1,DecimalDivision,grade_six,5.0,"5.0,4.5,5.5,4.0"
14.0|||3.5,DecimalDivision,grade_six,4.0,"4.0,3.5,4.5,3.0"
11.2|||2.8,DecimalDivision,grade_six,4.0,"4.0,3.5,4.5,3.0"
13.3|||3.8,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
9.8|||2.8,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
12.6|||3.6,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
10.5|||2.1,DecimalDivision,grade_six,5.0,"5.0,4.5,5.5,4.0"
14.0|||3.5,DecimalDivision,grade_six,4.0,"4.0,3.5,4.5,3.0"
11.2|||2.8,DecimalDivision,grade_six,4.0,"4.0,3.5,4.5,3.0"
13.3|||3.8,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
9.8|||2.8,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
12.6|||3.6,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2"
10.5|||2.1,DecimalDivision,grade_six,5.0,"5.0,4.5,5.5,4.0"
14.0|||3.5,DecimalDivision,grade_six,4.0,"4.0,3.5,4.5,3.0"
11.2|||2.8,DecimalDivision,grade_six,4.0,"4.0,3.5,4.5,3.0"
13.3|||3.8,DecimalDivision,grade_six,3.5,"3.5,3.0,4.0,3.2" 
