Question,Operation,Difficulty,Answer,Choices
2.5|||1.5,DecimalMultiplication,grade_five,3.75,"3.75,3.5,4.0,3.25"
3.2|||2.1,DecimalMultiplication,grade_five,6.72,"6.72,6.5,7.0,6.25"
1.8|||2.4,DecimalMultiplication,grade_five,4.32,"4.32,4.0,4.5,4.1"
4.5|||1.2,DecimalMultiplication,grade_five,5.4,"5.4,5.0,5.8,5.2"
2.7|||3.1,DecimalMultiplication,grade_five,8.37,"8.37,8.0,8.5,8.2"
1.2|||2.3,DecimalMultiplication,grade_five,2.76,"2.76,2.5,3.0,2.6"
2.1|||1.4,DecimalMultiplication,grade_five,2.94,"2.94,2.5,3.0,2.8"
1.6|||2.2,DecimalMultiplication,grade_five,3.52,"3.52,3.0,3.8,3.3"
2.4|||1.7,DecimalMultiplication,grade_five,4.08,"4.08,3.8,4.3,3.9"
1.9|||2.5,DecimalMultiplication,grade_five,4.75,"4.75,4.5,5.0,4.6"
2.8|||1.8,DecimalMultiplication,grade_five,5.04,"5.04,4.8,5.2,4.9"
1.5|||3.2,DecimalMultiplication,grade_five,4.8,"4.8,4.5,5.0,4.6"
2.2|||2.6,DecimalMultiplication,grade_five,5.72,"5.72,5.5,6.0,5.6"
3.1|||1.9,DecimalMultiplication,grade_five,5.89,"5.89,5.5,6.0,5.7"
2.6|||2.7,DecimalMultiplication,grade_five,7.02,"7.02,6.8,7.2,6.9"
3.3|||2.2,DecimalMultiplication,grade_five,7.26,"7.26,7.0,7.5,7.1"
2.9|||2.8,DecimalMultiplication,grade_five,8.12,"8.12,7.8,8.3,7.9"
3.4|||2.5,DecimalMultiplication,grade_five,8.5,"8.5,8.2,8.7,8.3"
3.0|||3.1,DecimalMultiplication,grade_five,9.3,"9.3,9.0,9.5,9.1"
3.5|||2.8,DecimalMultiplication,grade_five,9.8,"9.8,9.5,10.0,9.6"
3.4|||2.8,DecimalMultiplication,grade_six,9.52,"9.52,9.2,9.7,9.3"
4.2|||3.5,DecimalMultiplication,grade_six,14.7,"14.7,14.3,15.0,14.5"
5.1|||2.3,DecimalMultiplication,grade_six,11.73,"11.73,11.4,12.0,11.6"
3.8|||4.2,DecimalMultiplication,grade_six,15.96,"15.96,15.6,16.2,15.8"
4.7|||3.9,DecimalMultiplication,grade_six,18.33,"18.33,18.0,18.6,18.2"
3.6|||3.2,DecimalMultiplication,grade_six,11.52,"11.52,11.2,11.7,11.4"
4.3|||3.1,DecimalMultiplication,grade_six,13.33,"13.33,13.0,13.5,13.2"
3.9|||3.8,DecimalMultiplication,grade_six,14.82,"14.82,14.5,15.0,14.7"
4.5|||3.6,DecimalMultiplication,grade_six,16.2,"16.2,15.8,16.5,16.0"
4.1|||4.3,DecimalMultiplication,grade_six,17.63,"17.63,17.3,17.8,17.5"
4.8|||3.9,DecimalMultiplication,grade_six,18.72,"18.72,18.4,18.9,18.6"
4.4|||4.5,DecimalMultiplication,grade_six,19.8,"19.8,19.5,20.0,19.7"
5.2|||3.9,DecimalMultiplication,grade_six,20.28,"20.28,20.0,20.5,20.2"
4.6|||4.7,DecimalMultiplication,grade_six,21.62,"21.62,21.3,21.8,21.5"
5.3|||4.2,DecimalMultiplication,grade_six,22.26,"22.26,22.0,22.5,22.2"
4.9|||4.8,DecimalMultiplication,grade_six,23.52,"23.52,23.2,23.7,23.4"
5.4|||4.5,DecimalMultiplication,grade_six,24.3,"24.3,24.0,24.5,24.2"
5.0|||5.1,DecimalMultiplication,grade_six,25.5,"25.5,25.2,25.7,25.4"
5.5|||4.8,DecimalMultiplication,grade_six,26.4,"26.4,26.1,26.6,26.3"
5.2|||5.3,DecimalMultiplication,grade_six,27.56,"27.56,27.3,27.8,27.5" 
