Question,Operation,Difficulty,Answer,Choices
2.5|||1.5,Decimal,grade_five,4.0,"4.0,3.5,4.5,3.0"
3.2|||2.1,Decimal,grade_five,5.3,"5.3,5.0,5.5,5.2"
1.8|||2.4,Decimal,grade_five,4.2,"4.2,4.0,4.4,4.1"
4.5|||1.2,Decimal,grade_five,5.7,"5.7,5.5,5.9,5.8"
2.7|||3.1,Decimal,grade_five,5.8,"5.8,5.6,6.0,5.7"
1.2|||2.3,Decimal,grade_five,3.5,"3.5,3.3,3.7,3.4"
2.1|||1.4,Decimal,grade_five,3.5,"3.5,3.3,3.7,3.4"
1.6|||2.2,Decimal,grade_five,3.8,"3.8,3.6,4.0,3.7"
2.4|||1.7,Decimal,grade_five,4.1,"4.1,3.9,4.3,4.0"
1.9|||2.5,Decimal,grade_five,4.4,"4.4,4.2,4.6,4.3"
2.8|||1.8,Decimal,grade_five,4.6,"4.6,4.4,4.8,4.5"
1.5|||3.2,Decimal,grade_five,4.7,"4.7,4.5,4.9,4.6"
2.2|||2.6,Decimal,grade_five,4.8,"4.8,4.6,5.0,4.7"
3.1|||1.9,Decimal,grade_five,5.0,"5.0,4.8,5.2,4.9"
2.6|||2.7,Decimal,grade_five,5.3,"5.3,5.1,5.5,5.2"
3.3|||2.2,Decimal,grade_five,5.5,"5.5,5.3,5.7,5.4"
2.9|||2.8,Decimal,grade_five,5.7,"5.7,5.5,5.9,5.6"
3.4|||2.5,Decimal,grade_five,5.9,"5.9,5.7,6.1,5.8"
3.0|||3.1,Decimal,grade_five,6.1,"6.1,5.9,6.3,6.0"
3.5|||2.8,Decimal,grade_five,6.3,"6.3,6.1,6.5,6.2"
3.4|||2.8,Decimal,grade_six,6.2,"6.2,6.0,6.4,6.1"
4.2|||3.5,Decimal,grade_six,7.7,"7.7,7.5,7.9,7.6"
5.1|||2.3,Decimal,grade_six,7.4,"7.4,7.2,7.6,7.3"
3.8|||4.2,Decimal,grade_six,8.0,"8.0,7.8,8.2,7.9"
4.7|||3.9,Decimal,grade_six,8.6,"8.6,8.4,8.8,8.5"
3.6|||3.2,Decimal,grade_six,6.8,"6.8,6.6,7.0,6.7"
4.3|||3.1,Decimal,grade_six,7.4,"7.4,7.2,7.6,7.3"
3.9|||3.8,Decimal,grade_six,7.7,"7.7,7.5,7.9,7.6"
4.5|||3.6,Decimal,grade_six,8.1,"8.1,7.9,8.3,8.0"
4.1|||4.3,Decimal,grade_six,8.4,"8.4,8.2,8.6,8.3"
4.8|||3.9,Decimal,grade_six,8.7,"8.7,8.5,8.9,8.6"
4.4|||4.5,Decimal,grade_six,8.9,"8.9,8.7,9.1,8.8"
5.2|||3.9,Decimal,grade_six,9.1,"9.1,8.9,9.3,9.0"
4.6|||4.7,Decimal,grade_six,9.3,"9.3,9.1,9.5,9.2"
5.3|||4.2,Decimal,grade_six,9.5,"9.5,9.3,9.7,9.4"
4.9|||4.8,Decimal,grade_six,9.7,"9.7,9.5,9.9,9.6"
5.4|||4.5,Decimal,grade_six,9.9,"9.9,9.7,10.1,9.8"
5.0|||5.1,Decimal,grade_six,10.1,"10.1,9.9,10.3,10.0"
5.5|||4.8,Decimal,grade_six,10.3,"10.3,10.1,10.5,10.2"
5.2|||5.3,Decimal,grade_six,10.5,"10.5,10.3,10.7,10.4" 
