Question,Operation,Difficulty,Answer,Choices
10|||2,Division,Easy,5,"3,4,5,6"
12|||3,Division,Easy,4,"2,3,4,5"
16|||4,Division,Easy,4,"2,3,4,5"
20|||5,Division,Easy,4,"2,3,4,5"
18|||6,Division,Easy,3,"2,3,4,5"
24|||8,Division,Easy,3,"2,3,4,5"
30|||6,Division,Easy,5,"3,4,5,6"
36|||9,Division,Easy,4,"2,3,4,5"
42|||7,Division,Easy,6,"4,5,6,7"
8|||2,Division,Easy,4,"4,5,6,7"
14|||2,Division,Easy,7,"5,6,7,8"
15|||3,Division,Easy,5,"3,4,5,6"
21|||3,Division,Easy,7,"5,6,7,8"
25|||5,Division,Easy,5,"3,4,5,6"
28|||4,Division,Easy,7,"5,6,7,8"
32|||8,Division,Easy,4,"2,3,4,5"
35|||7,Division,Easy,5,"3,4,5,6"
40|||8,Division,Easy,5,"3,4,5,6"
45|||9,Division,Easy,5,"3,4,5,6"
48|||6,Division,Easy,8,"6,7,8,9"
64|||8,Division,Medium,8,"6,7,8,9"
72|||9,Division,Medium,8,"6,7,8,9"
81|||9,Division,Medium,9,"7,8,9,10"
90|||6,Division,Medium,15,"13,14,15,16"
96|||12,Division,Medium,8,"6,7,8,9"
108|||9,Division,Medium,12,"10,11,12,13"
121|||11,Division,Medium,11,"9,10,11,12"
132|||12,Division,Medium,11,"9,10,11,12"
144|||16,Division,Medium,9,"7,8,9,10"
156|||13,Division,Medium,12,"10,11,12,13"
169|||13,Division,Medium,13,"11,12,13,14"
180|||15,Division,Medium,12,"10,11,12,13"
192|||16,Division,Medium,12,"10,11,12,13"
204|||17,Division,Medium,12,"10,11,12,13"
216|||18,Division,Medium,12,"10,11,12,13"
228|||19,Division,Medium,12,"10,11,12,13"
240|||20,Division,Medium,12,"10,11,12,13"
252|||21,Division,Medium,12,"10,11,12,13"
264|||22,Division,Medium,12,"10,11,12,13"
276|||23,Division,Medium,12,"10,11,12,13"
256|||16,Division,Hard,16,"14,15,16,17"
289|||17,Division,Hard,17,"15,16,17,18"
324|||18,Division,Hard,18,"16,17,18,19"
361|||19,Division,Hard,19,"17,18,19,20"
400|||20,Division,Hard,20,"18,19,20,21"
441|||21,Division,Hard,21,"19,20,21,22"
484|||22,Division,Hard,22,"20,21,22,23"
529|||23,Division,Hard,23,"21,22,23,24"
576|||24,Division,Hard,24,"22,23,24,25"
625|||25,Division,Hard,25,"23,24,25,26"
676|||26,Division,Hard,26,"24,25,26,27"
729|||27,Division,Hard,27,"25,26,27,28"
784|||28,Division,Hard,28,"26,27,28,29"
841|||29,Division,Hard,29,"27,28,29,30"
900|||30,Division,Hard,30,"28,29,30,31"
961|||31,Division,Hard,31,"29,30,31,32"
1024|||32,Division,Hard,32,"30,31,32,33"
1089|||33,Division,Hard,33,"31,32,33,34"
1156|||34,Division,Hard,34,"32,33,34,35"
1225|||35,Division,Hard,35,"33,34,35,36"
