Question,Operation,Difficulty,Answer,Choices
50|||100,Percentage,grade_five,50,"50,45,55,40"
25|||200,Percentage,grade_five,50,"50,45,55,60"
75|||80,Percentage,grade_five,60,"60,55,65,70"
40|||150,Percentage,grade_five,60,"60,55,65,50"
30|||200,Percentage,grade_five,60,"60,55,65,70"
20|||100,Percentage,grade_five,20,"20,25,15,30"
35|||100,Percentage,grade_five,35,"35,30,40,25"
45|||100,Percentage,grade_five,45,"45,40,50,35"
60|||100,Percentage,grade_five,60,"60,55,65,50"
70|||100,Percentage,grade_five,70,"70,65,75,60"
15|||200,Percentage,grade_five,30,"30,25,35,20"
40|||200,Percentage,grade_five,80,"80,75,85,70"
25|||300,Percentage,grade_five,75,"75,70,80,65"
30|||300,Percentage,grade_five,90,"90,85,95,80"
35|||400,Percentage,grade_five,140,"140,135,145,130"
40|||400,Percentage,grade_five,160,"160,155,165,150"
45|||500,Percentage,grade_five,225,"225,220,230,215"
50|||500,Percentage,grade_five,250,"250,245,255,240"
55|||600,Percentage,grade_five,330,"330,325,335,320"
60|||600,Percentage,grade_five,360,"360,355,365,350"
80|||250,Percentage,grade_six,200,"200,190,210,180"
60|||300,Percentage,grade_six,180,"180,170,190,160"
45|||400,Percentage,grade_six,180,"180,170,190,200"
70|||300,Percentage,grade_six,210,"210,200,220,190"
90|||250,Percentage,grade_six,225,"225,215,235,205"
75|||400,Percentage,grade_six,300,"300,290,310,280"
85|||300,Percentage,grade_six,255,"255,245,265,235"
95|||200,Percentage,grade_six,190,"190,180,200,170"
65|||500,Percentage,grade_six,325,"325,315,335,305"
55|||600,Percentage,grade_six,330,"330,320,340,310"
70|||400,Percentage,grade_six,280,"280,270,290,260"
80|||350,Percentage,grade_six,280,"280,270,290,260"
85|||400,Percentage,grade_six,340,"340,330,350,320"
90|||350,Percentage,grade_six,315,"315,305,325,295"
95|||300,Percentage,grade_six,285,"285,275,295,265"
75|||500,Percentage,grade_six,375,"375,365,385,355"
80|||450,Percentage,grade_six,360,"360,350,370,340"
85|||450,Percentage,grade_six,382,"382,372,392,362"
90|||400,Percentage,grade_six,360,"360,350,370,340"
95|||400,Percentage,grade_six,380,"380,370,390,360" 
