Question,Operation,Difficulty,Answer,Choices
5|||3,Addition,Easy,8,"6, 7, 8, 9"
9|||4,Addition,Easy,13,"11, 12, 13, 14"
7|||2,Addition,Easy,9,"7, 8, 9, 10"
10|||8,Addition,Easy,18,"16, 17, 18, 19"
3|||6,Addition,Easy,9,"8, 9, 10, 11"
11|||5,Addition,Easy,16,"14, 15, 16, 17"
8|||7,Addition,Easy,15,"13, 14, 15, 16"
4|||9,Addition,Easy,13,"11, 12, 13, 14"
6|||12,Addition,Easy,18,"16, 17, 18, 19"
14|||2,Addition,Easy,16,"14, 15, 16, 17"
23|||14,Addition,Medium,37,"34, 35, 37, 38"
45|||27,Addition,Medium,72,"69, 70, 72, 73"
39|||18,Addition,Medium,57,"55, 56, 57, 58"
61|||29,Addition,Medium,90,"87, 89, 90, 91"
54|||33,Addition,Medium,87,"85, 86, 87, 88"
72|||16,Addition,Medium,88,"86, 87, 88, 89"
84|||48,Addition,Medium,132,"130, 131, 132, 133"
67|||35,Addition,Medium,102,"100, 101, 102, 103"
91|||46,Addition,Medium,137,"135, 136, 137, 138"
76|||28,Addition,Medium,104,"102, 103, 104, 105"
135|||246,Addition,Hard,381,"378, 380, 381, 383"
182|||319,Addition,Hard,501,"498, 500, 501, 503"
295|||157,Addition,Hard,452,"450, 451, 452, 453"
488|||231,Addition,Hard,719,"717, 718, 719, 720"
576|||343,Addition,Hard,919,"917, 918, 919, 920"
615|||276,Addition,Hard,891,"889, 890, 891, 892"
732|||481,Addition,Hard,1213,"1211, 1212, 1213, 1214"
893|||647,Addition,Hard,1540,"1538, 1539, 1540, 1541"
964|||735,Addition,Hard,1699,"1697, 1698, 1699, 1700"
1048|||859,Addition,Hard,1907,"1905, 1906, 1907, 1908"
12|||4,Subtraction,Easy,8,"6, 7, 8, 9"
15|||7,Subtraction,Easy,8,"6, 7, 8, 9"
19|||6,Subtraction,Easy,13,"11, 12, 13, 14"
21|||9,Subtraction,Easy,12,"10, 11, 12, 13"
8|||3,Subtraction,Easy,5,"3, 4, 5, 6"
14|||5,Subtraction,Easy,9,"7, 8, 9, 10"
17|||8,Subtraction,Easy,9,"7, 8, 9, 10"
25|||13,Subtraction,Easy,12,"10, 11, 12, 13"
30|||12,Subtraction,Easy,18,"16, 17, 18, 19"
20|||10,Subtraction,Easy,10,"8, 9, 10, 11"
54|||23,Subtraction,Medium,31,"29, 30, 31, 32"
63|||29,Subtraction,Medium,34,"32, 33, 34, 35"
77|||35,Subtraction,Medium,42,"40, 41, 42, 43"
89|||44,Subtraction,Medium,45,"43, 44, 45, 46"
96|||52,Subtraction,Medium,44,"42, 43, 44, 45"
105|||63,Subtraction,Medium,42,"40, 41, 42, 43"
117|||58,Subtraction,Medium,59,"57, 58, 59, 60"
124|||65,Subtraction,Medium,59,"57, 58, 59, 60"
139|||74,Subtraction,Medium,65,"63, 64, 65, 66"
153|||82,Subtraction,Medium,71,"69, 70, 71, 72"
182|||98,Subtraction,Hard,84,"82, 83, 84, 85"
217|||123,Subtraction,Hard,94,"92, 93, 94, 95"
265|||138,Subtraction,Hard,127,"125, 126, 127, 128"
312|||156,Subtraction,Hard,156,"154, 155, 156, 157"
398|||214,Subtraction,Hard,184,"182, 183, 184, 185"
445|||221,Subtraction,Hard,224,"222, 223, 224, 225"
521|||278,Subtraction,Hard,243,"241, 242, 243, 244"
606|||315,Subtraction,Hard,291,"289, 290, 291, 292"
748|||412,Subtraction,Hard,336,"334, 335, 336, 337"
809|||569,Subtraction,Hard,240,"238, 239, 240, 241"
7|||3,Multiplication,Easy,21,"19, 20, 21, 22"
4|||6,Multiplication,Easy,24,"22, 23, 24, 25"
9|||5,Multiplication,Easy,45,"43, 44, 45, 46"
2|||8,Multiplication,Easy,16,"14, 15, 16, 17"
3|||7,Multiplication,Easy,21,"19, 20, 21, 22"
6|||6,Multiplication,Easy,36,"34, 35, 36, 37"
5|||9,Multiplication,Easy,45,"43, 44, 45, 46"
8|||4,Multiplication,Easy,32,"30, 31, 32, 33"
7|||5,Multiplication,Easy,35,"33, 34, 35, 36"
3|||9,Multiplication,Easy,27,"25, 26, 27, 28"
11|||8,Multiplication,Medium,88,"86, 87, 88, 89"
12|||7,Multiplication,Medium,84,"82, 83, 84, 85"
13|||9,Multiplication,Medium,117,"115, 116, 117, 118"
14|||6,Multiplication,Medium,84,"82, 83, 84, 85"
15|||8,Multiplication,Medium,120,"118, 119, 120, 121"
16|||9,Multiplication,Medium,144,"142, 143, 144, 145"
18|||5,Multiplication,Medium,90,"88, 89, 90, 91"
19|||7,Multiplication,Medium,133,"131, 132, 133, 134"
21|||6,Multiplication,Medium,126,"124, 125, 126, 127"
23|||9,Multiplication,Medium,207,"205, 206, 207, 208"
25|||12,Multiplication,Hard,300,"298, 299, 300, 301"
27|||14,Multiplication,Hard,378,"376, 377, 378, 379"
32|||15,Multiplication,Hard,480,"478, 479, 480, 481"
