Question,Operation,Difficulty,Answer,Choices
9|||4,Subtraction,Easy,5,"3,4,5,6"
8|||3,Subtraction,Easy,5,"3,4,5,6"
7|||2,Subtraction,Easy,5,"3,4,5,6"
6|||1,Subtraction,Easy,5,"3,4,5,6"
9|||3,Subtraction,Easy,6,"4,5,6,7"
8|||2,Subtraction,Easy,6,"4,5,6,7"
7|||1,Subtraction,Easy,6,"4,5,6,7"
9|||2,Subtraction,Easy,7,"5,6,7,8"
8|||1,Subtraction,Easy,7,"5,6,7,8"
9|||1,Subtraction,Easy,8,"6,7,8,9"
7|||3,Subtraction,Easy,4,"2,3,4,5"
8|||4,Subtraction,Easy,4,"2,3,4,5"
9|||5,Subtraction,Easy,4,"2,3,4,5"
6|||2,Subtraction,Easy,4,"2,3,4,5"
7|||4,Subtraction,Easy,3,"1,2,3,4"
8|||5,Subtraction,Easy,3,"1,2,3,4"
9|||6,Subtraction,Easy,3,"1,2,3,4"
6|||3,Subtraction,Easy,3,"1,2,3,4"
7|||5,Subtraction,Easy,2,"0,1,2,3"
8|||6,Subtraction,Easy,2,"0,1,2,3"
10|||2,Subtraction,Easy,8,"6,7,8,9"
11|||3,Subtraction,Easy,8,"6,7,8,9"
12|||4,Subtraction,Easy,8,"6,7,8,9"
13|||5,Subtraction,Easy,8,"6,7,8,9"
14|||6,Subtraction,Easy,8,"6,7,8,9"
15|||7,Subtraction,Easy,8,"6,7,8,9"
16|||8,Subtraction,Easy,8,"6,7,8,9"
10|||1,Subtraction,Easy,9,"7,8,9,10"
11|||2,Subtraction,Easy,9,"7,8,9,10"
12|||3,Subtraction,Easy,9,"7,8,9,10"
13|||4,Subtraction,Easy,9,"7,8,9,10"
14|||5,Subtraction,Easy,9,"7,8,9,10"
15|||6,Subtraction,Easy,9,"7,8,9,10"
16|||7,Subtraction,Easy,9,"7,8,9,10"
17|||8,Subtraction,Easy,9,"7,8,9,10"
18|||9,Subtraction,Easy,9,"7,8,9,10"
12|||6,Subtraction,Easy,6,"4,5,6,7"
13|||7,Subtraction,Easy,6,"4,5,6,7"
14|||8,Subtraction,Easy,6,"4,5,6,7"
15|||9,Subtraction,Easy,6,"4,5,6,7"
54|||23,Subtraction,Medium,31,"29,30,31,32"
63|||29,Subtraction,Medium,34,"32,33,34,35"
77|||35,Subtraction,Medium,42,"40,41,42,43"
89|||44,Subtraction,Medium,45,"43,44,45,46"
96|||52,Subtraction,Medium,44,"42,43,44,45"
105|||63,Subtraction,Medium,42,"40,41,42,43"
117|||58,Subtraction,Medium,59,"57,58,59,60"
124|||65,Subtraction,Medium,59,"57,58,59,60"
139|||74,Subtraction,Medium,65,"63,64,65,66"
153|||82,Subtraction,Medium,71,"69,70,71,72"
165|||87,Subtraction,Medium,78,"76,77,78,79"
178|||93,Subtraction,Medium,85,"83,84,85,86"
186|||98,Subtraction,Medium,88,"86,87,88,89"
195|||102,Subtraction,Medium,93,"91,92,93,94"
204|||109,Subtraction,Medium,95,"93,94,95,96"
215|||115,Subtraction,Medium,100,"98,99,100,101"
226|||121,Subtraction,Medium,105,"103,104,105,106"
238|||128,Subtraction,Medium,110,"108,109,110,111"
247|||134,Subtraction,Medium,113,"111,112,113,114"
256|||141,Subtraction,Medium,115,"113,114,115,116"
182|||98,Subtraction,Hard,84,"82,83,84,85"
217|||123,Subtraction,Hard,94,"92,93,94,95"
265|||138,Subtraction,Hard,127,"125,126,127,128"
312|||156,Subtraction,Hard,156,"154,155,156,157"
398|||214,Subtraction,Hard,184,"182,183,184,185"
445|||221,Subtraction,Hard,224,"222,223,224,225"
521|||278,Subtraction,Hard,243,"241,242,243,244"
606|||315,Subtraction,Hard,291,"289,290,291,292"
748|||412,Subtraction,Hard,336,"334,335,336,337"
809|||569,Subtraction,Hard,240,"238,239,240,241"
867|||478,Subtraction,Hard,389,"387,388,389,390"
923|||534,Subtraction,Hard,389,"387,388,389,390"
978|||589,Subtraction,Hard,389,"387,388,389,390"
1034|||645,Subtraction,Hard,389,"387,388,389,390"
1156|||767,Subtraction,Hard,389,"387,388,389,390"
1289|||845,Subtraction,Hard,444,"442,443,444,445"
1345|||956,Subtraction,Hard,389,"387,388,389,390"
1478|||1089,Subtraction,Hard,389,"387,388,389,390"
1567|||1178,Subtraction,Hard,389,"387,388,389,390"
1689|||1245,Subtraction,Hard,444,"442,443,444,445"
